File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Limp_Home.c,Limp_Home(void),81,73,51,10,5,9,3,19,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_UpdateCommand(unsigned int target_select),30,30,19,10,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_TranslateRxData(void),10,10,6,2,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_CheckAAF1RxData(void),59,52,24,5,4,0,3,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_CheckAAF2RxData(void),53,49,23,5,2,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_CheckAAF3RxData(void),53,49,23,5,2,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Protection_OffMode(void),43,39,25,3,3,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Protection_OnMode(void),7,6,4,1,1,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_RxCheck(void),21,17,9,2,2,1,2,9,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_TxCheck(void),179,39,30,8,7,0,133,405,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_DiagRx(void),20,20,10,2,0,2,0,5,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_DiagAction(void),31,30,22,1,0,2,1,4,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.c,Lin_BusCheck(void),23,18,16,1,5,5,0,10,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Service.c,Lin_HandleReceivedHeader(void),26,24,14,1,2,6,0,8,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Service.c,Lin_HandleReceivedResponse(void),15,14,9,4,1,1,0,5,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Service.c,Lin_CalculateVerifyChecksum(uint8_t is_response_received),44,35,20,5,7,0,2,4,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Service.c,Lin_Wakeup(void),20,18,14,2,2,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_StopMotorAndReset(void),7,7,7,0,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_Reset(void),8,5,5,0,2,0,1,5,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_Delay(void),9,8,6,1,1,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_ParsingCommand(void),30,27,15,2,1,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_Cycle1(void),15,15,9,5,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_StartMotor(void),29,27,21,1,2,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_CheckCompletion(void),44,34,26,1,6,3,4,25,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_Final(void),9,9,7,1,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,LinSleep_Cycle2(void),15,15,9,5,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,Lin_Sleep(void),11,9,5,1,0,0,2,18,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,MCU_Sleep(void),22,11,9,1,5,0,6,40,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,McuSleep_ExternalOff(void),4,4,4,0,0,3,0,12,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,McuSleep_PortConfig(void),7,4,4,0,1,1,2,18,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,McuSleep_InternalModuleStop(void),11,8,8,0,2,6,1,22,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.c,McuSleep_DeepStop(void),5,4,4,0,1,3,0,14,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,App_MotorAction(void),13,10,6,2,1,0,2,12,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_Action(void),16,11,7,1,2,0,3,14,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_ManageStartStatus(void),18,17,11,1,0,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_SoftStart(void),36,28,18,2,4,1,4,10,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_StagedSoftStart(void),25,1,1,0,0,0,24,74,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_GenerateStepPulse(void),34,30,16,3,2,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_Open(void),14,14,8,1,0,2,0,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_Open2(void),15,14,8,1,0,2,1,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_Close(void),15,14,8,1,0,2,1,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Motor.c,Motor_Close2(void),15,14,8,1,0,2,1,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_CheckSensor1(void),35,35,23,4,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_CheckSensor2(void),35,35,23,4,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_CheckSensor3(void),35,35,23,4,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_HandleErrorMove(void),37,35,23,6,1,7,1,13,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_CheckRecovery(void),30,30,16,4,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_CheckSensor1Stat(void),39,36,18,3,0,0,3,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_CheckSensor2Stat(void),39,36,18,3,0,0,3,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_CheckSensor3Stat(void),39,36,18,3,0,0,3,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_DiagStatCheck(void),22,20,10,2,1,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_ErrorOperation(void),21,20,10,2,0,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_ClearAllTimers(void),7,7,7,0,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_ClearAllErrors(void),7,7,7,0,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_RecoveryReset(void),13,13,13,0,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_PositionStat1(void),44,40,20,5,2,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_PositionStat2(void),47,43,21,6,2,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Obd_Check.c,Obd_PositionStat3(void),47,43,21,6,2,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operating_Mode(void),44,24,15,8,19,0,1,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_Waiting(void),14,12,6,1,1,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_SetupAction(void),53,45,24,3,6,3,2,14,
